,text_q,text_a,Adults,Chickenpox vaccines,Diphtheria,General immunization,HPV vaccines,Hepatitis A vaccine,Hepatitis B vaccine,Immunization records,Infants & young children,Influenza vaccines,Measles,Meningococcal vaccines,Other,Pneumococcal vaccines,Pregnancy,Rotavirus Vaccines,School-age children & teens,Shingles vaccines,TB skin test,Travel vaccines,Vaccine Schedules,Vaccine ingredients,Vaccine safety,Where to get immunized,mumps and rubella vaccines,tetanus and pertussis vaccines
10,"How often virus of polio, MMR and meningococcal are mutated? How long it to create a new vaccine? How old are vaccines which you used today for vaccination? I mean when was last update them, like a year of charge? What's exactly content in vaccines and what's the risque to take it? Thank you.
","
	It is important to get your vaccine information from reliable sources. This page provides a list of websites where you can find trustworthy, science-based information about vaccines. 

		How often virus of polio, MMR and meningococcal are mutated-It is not clear what you are asking in this question. 

		It can take 10 years or longer for a vaccine to be developed, tested, and finally approved for use by Health Canada. Read more here.

		Refer to the History of Immunization in BC for which vaccines were used at what time in BC's vaccine programs.

		Refer to Health Canada Drug Product Database to find the product monographs and  information on any changes to vaccines approved in Canada.

		The Canadian Immunization Guide provides a list of all the ingredients of vaccines in Canada.

		At HealthlinkBC the immunization schedules link to the benefits and possible reactions for each specific vaccine.
For further questions or concerns about vaccines, please speak with your health care provider or a nurse at your health unit. Find a location near you here.
Immuization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,"Born in 1960 in Vancouver.My childhood dr is no longer alive, but I know his name.How can I find my vaccination records,the info says to contact your local health unit.Local to where I live now or where I lived as a child?How long does it take for results of a blood test to determine my immunity?
","Tips for locating immunization records are here. Contact the health unit where you lived as a child, use the health unit finder. Documentation from 1960s will be challenging to obtain, especially if vaccines were given by your doctor.  In general:

		Persons born before 1970 (except health care workers) are considered immune to measles and mumps from having these diseases in childhood.

		Blood tests can be done for a few vaccine preventable diseases, but the need for these tests should be discussed with your health care provider.

		ImmunizeBC does not have a timeline for blood tests/results.

		Without a record of immunization (or proof of immunity to a disease), a person is considered unimmunized and unprotected and should generally be vaccinated (or revaccinated) to ensure protection. It is safe to repeat vaccines. The schedule for these adults is located here.
Immunization Nurse
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"I was infected with pertussis about 15 years ago. I am wondering if I now have natural immunity, or do I need to get the vaccine?
","Pertussis (whooping cough) is a highly communicable (easily spread) bacterial illness. Persons who have had pertussis infection should receive pertussis-containing vaccines as recommended because infection does not confer long term immunity.
Adults should receive one dose of Tdap vaccine if they have not previously received pertussis-containing vaccines in adulthood, but is not provided for free in BC. Vaccines are available for purchase from most pharmacies, travel health clinics and some doctors' offices. Read about what vaccines adults need here.
Immunization Nurse
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,"I am 72. In 2003, I reacted to a Tdap shot (painful ""half grapefruit"" sized swelling that lasted for 2 weeks or more). Should I be vaccinated again? I'm well past the 10 years.
","Please speak with your health care provider about your last Tetanus, Diphtheria, Pertussis (Tdap) Vaccine, your reaction afterwards and plans for a booster dose. Reporting of unexpected reactions after vaccines is important to vaccine safety and reporting of adverse events following immunization.
What you described could have been an arthus reaction; it is a large, localized reaction characterized by pain, swelling, and redness. The reaction can form when there is a large amount of circulating tetanus antibodies already in your body prior to injection of the tetanus vaccine. This results in extensive swelling at the injection site. Most arthus reactions resolve within one week. Typically if an arthus reaction occurs with a tetanus-containing booster, future boosters can be spaced at longer intervals.
Immunization Nurse
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,"Since most of the pharmacies are out of flu shots, will the flu clinics in the Greater Victoria area (around Saanich / Victoria / Langford) have flu shots? I'm worried I'll get there before they start, wait until they begin, and just be told €œwe're out€. ~ Dec 6, 2019
","We don't have that information at ImmunizeBC. We recommend you use our Influenza (Flu) Clinic Finder to find a clinic near you. You can contact the clinics to find out how much vaccine is available.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"I'm 58 and had my immunizations when I was a child. I also had the mumps when I was a child. The medical clinic says they don't have records for back then. How can I prove I had it
","Our tips for locating immunization records are here.  Without a record of immunization (or proof of immunity to a disease), a person is considered unimmunized and unprotected and should generally be vaccinated (or revaccinated) to ensure protection. It is safe to repeat vaccines. You can read more about the vaccines adults need here.
In BC, as you were born in 1960, you generally are considered to be immune to measles and mumps because of natural infection (does not apply to health care workers). For rubella (german measles), documentation of 1 dose of MMR vaccine on/after your first birthday or lab confirmation of rubella immunity is required. For a limited number of vaccine preventable diseases, you can also have your blood tested for antibodies to determine your immunity. Your health care provider can help you determine what is best for you.
Immunization Nurse
",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,"is it the law that early childhood educators and public school teachers be immunized in BC?
","Immunization is not mandatory in BC.  However, it is strongly recommended that adults are up-to-date with their immunizations for their own protection and to protect those around them. Some agencies may have immunization policies for their staff, but this is not legally mandated. For more information, please contact your health care provider or check out the information regarding adult immunization here.
Immunization Nurse
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17," Wondering who to contact re rabies titre and getting a booster. +15 years since last booster.
","Your health care provider can order and interpret your blood test results and provide a recommendation if you need a booster dose of rabies vaccine. The vaccine is available for purchase from travel health clinics.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Do we just show up for a free vaccine to the Shopper's Drug Mart on Hwy. 33 between their posted hours? It says 'drop in'.
","On the ImmunizeBC Influenza (flu) clinic locator, 'drop in' means that you can present for an influenza vaccine (flu shot) during their business hours (appointment is not required). If you have any questions about a specific location, please contact the clinic directly.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,"How do I locate immunization records?
","You can find tips for locating immunization records here. 
- Immunization Nurse
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"How do I get an immunization for measles on the weekend? I work during the health unit clinic hours during the week and I'm going to Disneyland in a couple of weeks and just found out that I should have the MMR booster (born in 1970). Thank you! 
","Many pharmacists in BC provide immunizations on weekends.  It's a good idea to call ahead of time to ensure there is an immunizing pharmacist on site.  
For information about the MMR vaccine, see the HealthLink BC File: Measles, Mumps, Rubella (MMR) Vaccine.  
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,"My cat caught a bat and brought it into the house. I walked barefoot on the floor where the bat was. Saliva & blood on the floor? Should I get the shot or wait for bat test result
","The nurses at ImmunizeBC only provide general immunization information and cannot provide medical advice. Please contact your local health unit or call HealthLinkBC at 8-1-1 about your potential bat exposure.  
Immunization Nurse. 
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"I had GBS (full paralysis, 20yrs ago) not associated with immunization. I have had the flu shot numerous time since. Am I putting myself at greater risk of GBS recurring by getting the yearly flu shot?
","Individuals who developed Guillain-BarrÃ© syndrome (GBS) within 8 weeks of a previous dose of tetanus toxoid or influenza vaccine should not be re-immunized with that product. Individuals who have developed GBS outside this interval or who have a different etiology (cause) confirmed may receive subsequent doses of tetanus and/or influenza vaccines.
While its cause of GBS is not fully understood, the syndrome often follows infection with a virus or bacteria. If you have more questions, please speak with your health care provider about your health history and risk of GBS from influenza virus versus vaccine. Studies suggest that it is more likely that a person will get GBS after getting the flu than after vaccination. It is important to keep in mind that severe illness and death are associated with flu, and getting vaccinated is the best way to prevent flu infection and its complications.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"My child got the chicken pox vaccine at 1 year and 5 year. Does she need another one?
","In B.C., the routine vaccine program for chickenpox (varicella) is two doses given at 12 months and 4-6 years of age. If your child received two doses of chickenpox vaccine at 1 and 5 years of age, they are considered up to date. 
Immunization Nurse
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"What happens when we refuse to vaccinate our children? 
","Vaccination is not mandatory in B.C. However, it is strongly recommended that children get all of the recommended vaccines. 
Vaccination is the best way to protect your child against a number of serious and sometimes deadly diseases. If you choose not to vaccinate your child, or to delay vaccines, there can be risks. It's important that all parents who choose not to vaccinate understand how to minimize the risk of their child getting a vaccine-preventable disease and spreading it to others. 
Learn what you need to know if you choose not to vaccinate your child, or to delay vaccines, here. 
Learn more about your risks and responsibilities with an unvaccinated child here.
If you have questions or concerns about vaccines, we recommend that you talk to your doctor or a public health nurse. You can find the contact information for your local health unit here. 
Immunization Nurse
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"How long after getting a tattoo will I have to wait until I can get any shot (not a few shot or drawing blood)?
","There is no time period required to wait between getting a tattoo and a vaccine.
ImmunizeBC only answers questions about immunization. For any questions about blood draws, testing or donating blood after a tattoo, please speak with your primary health care provider.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"earlier allowed date take 4 months vaccine
","If you are asking if the 4 month infant vaccines can be given earlier than recommended, please call your immunization provider or call your local public health unit and ask to speak to a public health nurse. You will find the number here. If this is not what you are asking, please submit your question again.
Immunization Nurse
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"does the newly born infant acquire immunity against whooping cough from mother or not and why
","Canada's National Advisory Committee on Immunization recommends that all pregnant women get the pertussis (whooping cough) vaccine in every pregnancy to help protect the baby after birth. The pertussis vaccine is given as the tetanus, diphtheria, pertussis (Tdap) vaccine. Read more about vaccines in pregnancy here.
Babies don't start getting the pertussis vaccine until they are two months old. When you get the pertussis vaccine, your body makes protective antibodies. Antibodies are proteins made by the body to help fight off diseases. You can pass some of these antibodies on to your baby through your placenta before birth. If you are pregnant, please discuss the Tdap vaccine with your health care provider.
Immunization Nurse
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
28,"How soon is child protected after the chicken pox vaccine? In other words, how long does it take before the vaccine is effective against chicken pox exposure in the community?
","Protective antibody levels against varicella (chickenpox) are reached within 4-6 weeks after vaccination; however, some level of protection may develop earlier. Two doses of the chickenpox vaccine are recommended for best protection.
For more information about the chickenpox vaccine, visit our chickenpox page.
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Hello, wondering when the Richmond flu clinic will be this year for my 4 and 7 y/o. Thank you!
","Find influenza (flu) clinics in your area here. In B.C., clinics near you will likely have influenza vaccine in late October or early November.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"I have the BCG scarring 'Large' on my left lower leg. I've not met anyone else with this. Is there a reason. Thank you for reading,
","ImmunizeBC provides general immunization information only. The Bacille Calmette-GuÃ©rin (BCG) is a vaccine for tuberculosis (TB) disease. The vaccine is not for routine use in any Canadian population.
	In general, the deltoid muscle (upper arm) is the preferred injection site for the BCG vaccine; however, some countries may have given the vaccine on the thigh or forearm.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,"My son did not get chicken pox as a child. He had the vaccination at school at about age 12. Does he need a booster vaccination now that he is almost 23?
","Two doses of the chickenpox (varicella) vaccine are recommended for adults who have not had chickenpox disease.
You can find more information about the chickenpox vaccine here. 
- Immunization Nurse
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Hi, Do I need to take a blood test before I take Meningococcal? Are you able to provide me all records of the immunization I've taken? My university requires me to upload it.
","A blood test is not required prior to receiving Meningococcal vaccine. There is no central registry of all immunizations provided in BC. For tips on locating immunization records, check here.
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Is a prescription required for Shingrix?
","A prescription is not required for the Shingrix vaccine for someone who is paying for it themselves. Shingrix is available for purchase from some pharmacies and travel clinics. The vaccine is not currently publicly funded (free) in BC however some health insurance plans may cover the cost of the vaccine. The best way for a person to find out if they have coverage is to contact their insurance provider/health plan directly. They can let you know if they require a prescription.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,"I have a 3 year old and a 7 year old who haven't had any vaccines. What is the best way for me to get them caught up?
","In BC, a public health nurse can determine a vaccine schedule for your children based on their ages now. Contact your local health unit to book appointments. Tell the receptionist it is their first vaccines and you want to get them caught up. 
Learn about the routine vaccines offered to children here. Tips to prepare for a positive immunization experience are posted here. 
Immunization Nurse
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"are vaccines mandatory in BC
","Immunization is not mandatory in BC.  However, it is strongly recommended that children (and adults) are up-to-date with their immunizations.  
- Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Hello, i was wondering how long I have to wait to be sexually active after I get my hpv vaccine
","If you have questions about engaging in sexual activity, please go to Smart Sex Resource for more information.
Immunization Nurse
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Could you please tell me what brands are used for each vaccine on the schedule? Are these the same brands used at all public health units? Are there options for each vaccine?
","We recommend that you contact your local health unit or vaccine provider to discuss what specific brands are used as they may vary from location to location. Your vaccine provider can address any questions you may have about the products. You can find the number for your local health unit here.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"I have a been sensitized to formaldehyde (Gross Anatomy, Dental college, 2001). Further exposure during school & private practice led to increased respiratory reactions. I was told I could not get the flu vaccine. Does this apply to other vaccines?
","Formaldehyde is used in vaccines to inactivate viruses and protein toxins. You will find a list of vaccines that are used in Canada and their ingredients here. If you have questions, please contact your immunization provider for further information.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,"When will flu shots be available
","In BC, influenza (flu) vaccines are usually available in October.  You can visit your local health authority's website or contact your local public health unit for information on influenza vaccine availability in your area.  You can find the contact information for your local public health unit here. 
- Immunization Nurse
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"Where do i get the numbing cream for my kids before they get the flu shot?
","Numbing creams and patches can be purchased from your local pharmacy. You do not need a prescription from your health care provider to buy them. You will find more information about the creams here.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"When is the mobile flu shot going to be at Interlakes BC
","At ImmunizeBC, our influenza clinic locator is completed by health units, pharmacies, doctors' offices etc., that choose to use our site. We do not have information on all influenza clinics or flu shot availability in BC. If the information is not posted on our locator here, please contact your local health service providers directly to ask about access to the flu shot.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,"Hello! I am 56. Is there any medical value in getting the Men-B vaccination (money is no object,) which is recommended for those up to age 55? Thank you!
","In B.C., the Meningococcal B (Men-B) Vaccine is provided free to those 2 months to 55 years of age who have been in close contact with a case of meningococcal B disease.
The vaccine is recommended, but not provided free, for those who are at risk of meningococcal B infection due to certain medical conditions including:

		no spleen or a spleen that is not working properly; or

		immune system disorders including complement, properdin, factor D deficiencies, or primary antibody deficiency.
The vaccine is also recommended, but not provided free for:

		laboratory workers routinely exposed to meningococcal bacteria;

		military personnel; and

		those traveling to an area where the risk of meningococcal B disease is high.
The safety and effectiveness of the Men-B vaccine in adults over 55 years of age has not been established.  However, vaccination may be considered on an individual basis depending on the individual's situation.  
As per the Canadian Immunization Guide, it is recommended that for those 56 years of age and older, the Men B vaccine should be considered for those who are at high risk. Persons at higher risk of invasive meningococcal disease include:

		persons with functional or anatomic asplenia

		persons with congenital complement, properdin, factor D or primary antibody deficiencies

		persons with acquired complement deficiency due to receipt of the terminal complement inhibitor eculizumab (Soliris„¢)

		travellers to areas with high rates of endemic meningococcal disease or transmission, including travellers to the meningitis belt of sub-Saharan Africa and pilgrims to the Hajj in Mecca, Saudi Arabia

		research, industrial and clinical laboratory personnel who may be at risk of exposure to N. meningitidis

		military personnel who are at increased risk of meningococcal disease

		HIV positive individuals should be considered for vaccination, especially if HIV is congenitally acquired
We recommend that you follow up with your health care provider who can make an individual recommendation for you regarding Men-B vaccination. 
- Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"What does forced status mean under status reason
","Sorry, we are not sure what you are asking. If this is an immunization question, please clarify your question and resubmit it.  The nurses at ImmunizeBC only answer immunization questions.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"Why are vaccines in short supply? On a waiting list of 600 at SDM in Parksville.
","If you are referring to influenza (flu) vaccine, here is some information you may be interested in. The publicly funded (free) influenza vaccine is purchased by the Provincial Health Services Authority (PHSA) with money allocated by the Ministry of Health and is distributed through the local health authorities.  The provincial supply of the publicly funded influenza vaccine is determined prior to the actual influenza season based on information from each of the health authorities.  Thus, each health authority receives a pre-determined amount of the publicly-funded vaccine.
Depending on the particular demand in a given year, in a specific area or at a specific location, sometimes select clinics may run out of the publicly funded vaccine. The publicly funded vaccine is available from a variety of vaccine providers, including public health clinics, pharmacies, travel clinics and some doctors' offices.
Please use our Flu Finder to find other clinics near you.
Immunization Nurse
 
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"My first two Hep B shots were on schedule, but my third was many years later. Should I get a blood test to check for immunity, or is a long break between the second and third ok?
","A blood test to confirm immunity to (protection against) the hepatitis B virus is not routinely recommended when there has been a delay between vaccine doses. A longer than recommended interval between doses of the hepatitis B vaccine does not result in reduced protection once all the recommended doses have been received, regardless of the amount of time that has passed between doses. 
Immunization Nurse
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"Born in 1986 and received all routine vaccinations. Would Hepatits A have been included in these or do I need to get this one?
","According to the History of Immunization in BC, the hepatitis A vaccine was not a part of the routine childhood immunization schedule. Starting in 2012, the hepatitis A vaccine was offered to Aboriginal persons 6 months-18 years in BC as part of the routine childhood immunization schedule.
Immunization Nurse
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"My daughter born June 2009 received PCV 7 in her first year. June 2010, it was replaced with PCV13. Should she receive a booster with PCV13 for protection against other 6 strains?
","Children 5-18 years of age who previously completed a series of PCV7 vaccine are not eligible for the publicly funded PCV13 vaccine unless they are at high risk of pneumococcal disease due to asplenia, HIV infection or receipt of HSCT. 
However, if you would like your child to be protected against the 6 additional strains not covered in the PCV7 vaccine, you can purchase the PCV13 vaccine.  We recommend that you discuss this further with your immunizing health care provider. 
- Immunization Nurse
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Can the HPV vaccine affect fertility later in life
","Extensive research has shown no evidence that the HPV vaccine can cause infertility. In fact, HPV cancers can lead to issues with fertility. The HPV vaccine protects against cancers caused by HPV. You can learn more about the HPV vaccine here. 
The HPV vaccine is very safe. Vaccines are approved for use in Canada only if they meet very strict standards for safety and effectiveness. The HPV vaccine was well studied in clinical trials and was not approved for use in Canada until the studies showed that it was safe and effective. Since vaccine licensure, hundreds of millions of doses of HPV vaccines have been distributed worldwide. Vaccine safety monitoring has continued to show that the HPV vaccine is safe. You can learn more about vaccine safety here. 
If you have further questions or concerns, we recommend that you speak with your doctor or a public health nurse. You can find the contact information for your local health unit here.
Immunization Nurse
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,"Does my baby get weighed and measured at his vaccination appointment?
","At most health units and doctors' offices that provide vaccines, there is a scale and measuring tape to assess growth. 
Immunization Nurse
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Hello, I'm 65 years old person with disabilities with a lifelong susceptibility to respiratory infections, including influenza and pneumonia. Where can I be vaccinated? In Victoria
","Adults can get publicly-funded (free) vaccines from health units, most pharmacies, and some doctors' offices. Non-publicly funded vaccines can be purchased at most pharmacies and travel clinics. Services vary across B.C.
A number of vaccines are recommended for adults 65 years of age inluding the influenza vaccine, pneumococcal polysaccharide vaccine, and shingles vaccine. Other vaccines may be recommended for you depending on on your age, job, lifestyle, health conditions, travel plans and the vaccines you received in the past. Some of the recommended vaccines are publicly-funded (free) and others need to be purchased. Your local pharmacy may be your best bet as they provide publicly funded as well as vaccines for purchase.
Immunization Nurse
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Who can I report reaction on Shingrix ?
","Vaccine safety is important. Reporting potential adverse events following immunization is a part of Canada's vaccine safety monitoring process. Contact the  healthcare professional that provided the Shingrix vaccine directly to report. If you don't know who provided the vaccine, you can contact a BC health unit near you and ask to speak with a nurse. Our health unit finder is here.
Immunization Nurse
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
52,"What was the routine vaccination schedule in 2009? I am trying to figure out which vaccines my son born in Jan 2004 would had just prior to starting kindergarten in 2009. Thanks.
","In 2009, children in BC would have been routinely offered the Diphtheria, Tetanus, Pertussis, Polio (DTaP-IPV) Vaccine at 4-6 years (school entry). Susceptible children would have also been offered the Chickenpox (Varicella) Vaccine. 
However, without a record of immunization, a person is considered unimmunized.  You can find information on locating immunization records here. 
- Immunization Nurse
 
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
